"","Year","1","2","3","4","5","6","7","8","9","10"
"1",1979,28.81,8.85,7.21,5.14,2.57,2.32,2.28,2.25,1.81,1.73
"2",1980,28.43,8.55,7.57,5.21,2.61,2.57,2.48,2.22,1.8,1.75
"3",1981,28.07,8.26,7.84,5.38,2.63,2.62,2.57,2.24,1.86,1.76
"4",1982,27.95,8.13,7.96,5.65,2.69,2.69,2.43,2.29,1.91,1.76
"5",1983,27.37,8.66,7.7,5.69,2.92,2.7,2.69,2.29,1.89,1.79
"6",1984,26.55,8.89,7.56,5.82,3.04,2.83,2.72,2.35,1.95,1.75
"7",1985,25.73,9.19,7.33,5.87,3.22,3.14,2.72,2.31,1.93,1.77
"8",1986,24.74,9.63,7.11,5.96,3.27,3.23,2.75,2.27,1.94,1.77
"9",1987,24.13,10.32,7.06,6.12,3.31,3.23,2.76,2.28,1.94,1.81
"10",1988,23.51,10.57,6.95,6.14,3.49,3.43,2.73,2.22,1.96,1.86
"11",1989,23.17,10.04,6.77,6.37,3.52,3.48,2.74,2.26,2.18,2
"12",1990,22.78,9.96,6.71,6.57,3.64,3.6,2.69,2.26,2.22,2.03
"13",1991,22.39,10.24,6.62,6.62,3.77,3.53,2.74,2.25,2.22,2.02
"14",1992,22.08,10.47,6.7,6.62,3.82,3.43,2.76,2.3,2.22,1.99
"15",1993,21.61,10.85,6.63,6.56,4.06,3.6,2.76,2.37,2.15,1.93
"16",1994,21.14,10.88,6.74,6.55,4.06,3.52,2.76,2.49,2.14,1.93
"17",1995,20.83,10.95,6.85,6.53,4.06,3.56,2.71,2.56,2.11,1.91
"18",1996,20.58,10.42,6.92,6.56,4.19,3.58,2.73,2.67,2.07,1.88
"19",1997,20.16,9.95,6.91,6.62,4.34,3.7,2.7,2.7,2.08,1.86
"20",1998,19.69,9.84,6.78,6.61,4.45,3.85,2.77,2.66,2.06,1.9
"21",1999,22.15,7.01,6.38,6.36,4.94,3.06,2.86,2.59,2.02,1.92
"22",2000,21.44,6.99,6.47,6.34,4.84,2.9,2.88,2.64,2.06,2.02
"23",2001,20.78,6.78,6.45,6.35,4.87,2.95,2.87,2.55,2.23,1.99
"24",2002,20.24,6.67,6.45,6.37,4.89,3,2.87,2.66,2.41,2.04
"25",2003,19.61,6.45,6.45,6.37,4.95,3.03,2.85,2.59,2.59,2.18
"26",2004,18.83,6.59,6.38,6.26,4.89,3.05,2.88,2.75,2.44,2.28
"27",2005,18.21,6.5,6.41,5.87,5.15,3.07,2.92,2.86,2.5,2.45
"28",2006,17.54,6.53,6.5,5.66,4.95,3.29,2.98,2.98,2.88,2.33
"29",2007,16.77,6.6,6.54,5.61,5.1,3.37,3.07,2.94,2.9,2.38
"30",2008,16.4,6.48,6.41,5.53,5.43,3.9,3.33,2.87,2.85,2.47
"31",2009,15.86,6.59,6.48,5.46,5.29,4.02,3.24,2.96,2.82,2.54
"32",2010,15.38,6.67,6.41,5.42,5.25,4.54,3.38,2.93,2.8,2.56
"33",2011,14.93,6.62,6.24,5.52,5.13,5.04,3.37,2.93,2.91,2.59
"34",2012,14.61,6.74,6.19,5.47,5.44,5.06,3.28,2.94,2.9,2.68
"35",2013,14.26,6.96,6.01,5.63,5.57,4.97,3.26,2.91,2.89,2.77
"36",2014,13.89,7.13,5.92,5.43,5.34,5.07,3.56,2.94,2.91,2.79
"37",2015,13.53,7.36,5.66,5.55,5.18,4.6,4.07,2.93,2.91,2.89
"38",2016,13.25,7.34,5.48,5.42,5.19,4.35,4.22,3.02,2.94,2.91
"39",2017,13.02,7.31,5.54,5.21,5.18,4.33,4.31,3.2,2.97,2.9
"40",2018,12.89,7.32,5.47,5.21,5,4.29,4.25,3.38,2.99,2.92
"41",2019,12.65,7.36,5.35,5.26,4.89,4.25,4.15,3.58,3.07,2.94
"42",2020,11.32,10.37,6.28,4.74,4.37,4.02,3.96,3.8,3.55,3.02
